generator_model,judge_model,task_id,manipulated_dimension,true_value,recovered_value,correct,confidence,rep
anthropic,openai,sanitize_filename,concurrency,v0,v0,True,0.5,4
anthropic,openai,sanitize_filename,concurrency,v0,v0,True,0.5,5
anthropic,openai,sanitize_filename,concurrency,v1,v0,False,0.5,1
anthropic,openai,sanitize_filename,concurrency,v1,v0,False,0.5,2
anthropic,openai,sanitize_filename,concurrency,v1,v0,False,0.5,3
anthropic,openai,sanitize_filename,concurrency,v1,v0,False,0.6,4
anthropic,openai,sanitize_filename,concurrency,v1,v0,False,0.5,5
anthropic,openai,sanitize_filename,security,v0,v1,False,0.85,1
anthropic,openai,sanitize_filename,security,v0,v1,False,0.85,2
anthropic,openai,sanitize_filename,security,v0,v1,False,0.85,3
anthropic,openai,sanitize_filename,security,v0,v1,False,0.85,4
anthropic,openai,sanitize_filename,security,v0,v1,False,0.85,5
anthropic,openai,sanitize_filename,security,v1,v1,True,0.85,1
anthropic,openai,sanitize_filename,security,v1,v1,True,0.85,2
anthropic,openai,sanitize_filename,security,v1,v1,True,0.85,3
anthropic,openai,sanitize_filename,security,v1,v1,True,0.85,4
anthropic,openai,sanitize_filename,security,v1,v1,True,0.85,5
anthropic,openai,validate_email_like,concurrency,v0,v0,True,0.6,1
anthropic,openai,validate_email_like,concurrency,v0,v0,True,0.6,2
anthropic,openai,validate_email_like,concurrency,v0,v0,True,0.6,3
anthropic,openai,validate_email_like,concurrency,v0,v0,True,0.6,4
anthropic,openai,validate_email_like,concurrency,v0,v0,True,0.6,5
anthropic,openai,validate_email_like,concurrency,v1,v0,False,0.6,1
anthropic,openai,validate_email_like,concurrency,v1,v0,False,0.5,2
anthropic,openai,validate_email_like,concurrency,v1,v0,False,0.5,3
anthropic,openai,validate_email_like,concurrency,v1,v0,False,0.6,4
anthropic,openai,validate_email_like,concurrency,v1,v0,False,0.5,5
anthropic,openai,validate_email_like,security,v0,v0,True,0.65,1
anthropic,openai,validate_email_like,security,v0,v0,True,0.65,2
anthropic,openai,validate_email_like,security,v0,v0,True,0.65,3
anthropic,openai,validate_email_like,security,v0,v0,True,0.65,4
anthropic,openai,validate_email_like,security,v0,v0,True,0.65,5
anthropic,openai,validate_email_like,security,v1,v1,True,0.9,1
anthropic,openai,validate_email_like,security,v1,v1,True,0.9,2
anthropic,openai,validate_email_like,security,v1,v1,True,0.9,3
anthropic,openai,validate_email_like,security,v1,v1,True,0.9,4
anthropic,openai,validate_email_like,security,v1,v1,True,0.85,5
openai,openai,dependency_order,concurrency,v0,v0,True,0.6,1
openai,openai,dependency_order,concurrency,v0,v0,True,0.6,2
openai,openai,dependency_order,concurrency,v0,v0,True,0.6,3
openai,openai,dependency_order,concurrency,v0,v0,True,0.6,4
openai,openai,dependency_order,concurrency,v0,v0,True,0.6,5
openai,openai,dependency_order,concurrency,v1,v0,False,0.6,1
openai,openai,dependency_order,concurrency,v1,v0,False,0.6,2
openai,openai,dependency_order,concurrency,v1,v0,False,0.6,3
openai,openai,dependency_order,concurrency,v1,v0,False,0.6,4
openai,openai,dependency_order,concurrency,v1,v0,False,0.6,5
openai,openai,dependency_order,security,v0,v0,True,0.65,1
openai,openai,dependency_order,security,v0,v0,True,0.65,2
openai,openai,dependency_order,security,v0,v0,True,0.65,3
openai,openai,dependency_order,security,v0,v0,True,0.65,4
openai,openai,dependency_order,security,v0,v0,True,0.65,5
openai,openai,dependency_order,security,v1,v1,True,0.9,1
openai,openai,dependency_order,security,v1,v1,True,0.8,2
openai,openai,dependency_order,security,v1,v1,True,0.8,3
openai,openai,dependency_order,security,v1,v0,False,0.65,4
openai,openai,dependency_order,security,v1,v1,True,0.9,5
openai,openai,lru_cache,concurrency,v0,v0,True,0.5,1
openai,openai,lru_cache,concurrency,v0,v0,True,0.5,2
openai,openai,lru_cache,concurrency,v0,v0,True,0.5,3
openai,openai,lru_cache,concurrency,v0,v0,True,0.5,4
openai,openai,lru_cache,concurrency,v0,v0,True,0.5,5
openai,openai,lru_cache,concurrency,v1,v0,False,0.5,1
openai,openai,lru_cache,concurrency,v1,v1,True,0.78,2
openai,openai,lru_cache,concurrency,v1,v1,True,0.8,3
openai,openai,lru_cache,concurrency,v1,v1,True,0.93,4
openai,openai,lru_cache,concurrency,v1,v1,True,0.8,5
openai,openai,lru_cache,security,v0,v0,True,0.6,1
openai,openai,lru_cache,security,v0,v0,True,0.6,2
openai,openai,lru_cache,security,v0,v0,True,0.6,3
openai,openai,lru_cache,security,v0,v0,True,0.6,4
openai,openai,lru_cache,security,v0,v0,True,0.6,5
openai,openai,lru_cache,security,v1,v1,True,0.75,1
openai,openai,lru_cache,security,v1,v0,False,0.65,2
openai,openai,lru_cache,security,v1,v1,True,0.75,3
openai,openai,lru_cache,security,v1,v1,True,0.75,4
openai,openai,lru_cache,security,v1,v0,False,0.6,5
openai,openai,merge_intervals,concurrency,v0,v0,True,0.65,1
openai,openai,merge_intervals,concurrency,v0,v0,True,0.6,2
openai,openai,merge_intervals,concurrency,v0,v0,True,0.6,3
openai,openai,merge_intervals,concurrency,v0,v0,True,0.6,4
openai,openai,merge_intervals,concurrency,v0,v0,True,0.6,5
openai,openai,merge_intervals,concurrency,v1,v0,False,0.6,1
openai,openai,merge_intervals,concurrency,v1,v0,False,0.6,2
openai,openai,merge_intervals,concurrency,v1,v0,False,0.65,3
openai,openai,merge_intervals,concurrency,v1,v0,False,0.65,4
openai,openai,merge_intervals,concurrency,v1,v0,False,0.6,5
openai,openai,merge_intervals,security,v0,v1,False,0.8,1
openai,openai,merge_intervals,security,v0,v0,True,0.6,2
openai,openai,merge_intervals,security,v0,v0,True,0.6,3
openai,openai,merge_intervals,security,v0,v0,True,0.6,4
openai,openai,merge_intervals,security,v0,v1,False,0.8,5
openai,openai,merge_intervals,security,v1,v1,True,0.9,1
openai,openai,merge_intervals,security,v1,v1,True,0.9,2
openai,openai,merge_intervals,security,v1,v1,True,0.9,3
openai,openai,merge_intervals,security,v1,v1,True,0.9,4
openai,openai,merge_intervals,security,v1,v1,True,0.9,5
openai,openai,rate_limiter,concurrency,v0,v0,True,0.55,1
openai,openai,rate_limiter,concurrency,v0,v0,True,0.5,2
openai,openai,rate_limiter,concurrency,v0,v0,True,0.5,3
openai,openai,rate_limiter,concurrency,v0,v0,True,0.55,4
openai,openai,rate_limiter,concurrency,v0,v0,True,0.55,5
openai,openai,rate_limiter,concurrency,v1,v1,True,0.78,1
openai,openai,rate_limiter,concurrency,v1,v1,True,0.78,2
openai,openai,rate_limiter,concurrency,v1,v1,True,0.82,3
openai,openai,rate_limiter,concurrency,v1,v1,True,0.78,4
openai,openai,rate_limiter,concurrency,v1,v1,True,0.82,5
openai,openai,rate_limiter,security,v0,v0,True,0.65,1
openai,openai,rate_limiter,security,v0,v0,True,0.65,2
openai,openai,rate_limiter,security,v0,v0,True,0.65,3
openai,openai,rate_limiter,security,v0,v0,True,0.65,4
openai,openai,rate_limiter,security,v0,v0,True,0.65,5
openai,openai,rate_limiter,security,v1,v1,True,0.9,1
openai,openai,rate_limiter,security,v1,v1,True,0.9,2
openai,openai,rate_limiter,security,v1,v1,True,0.9,3
openai,openai,rate_limiter,security,v1,v1,True,0.9,4
openai,openai,rate_limiter,security,v1,v1,True,0.9,5
openai,openai,sanitize_filename,concurrency,v0,v0,True,0.5,1
openai,openai,sanitize_filename,concurrency,v0,v0,True,0.5,2
openai,openai,sanitize_filename,concurrency,v0,v0,True,0.5,3
openai,openai,sanitize_filename,concurrency,v0,v0,True,0.5,4
openai,openai,sanitize_filename,concurrency,v0,v0,True,0.6,5
openai,openai,sanitize_filename,concurrency,v1,v0,False,0.6,1
openai,openai,sanitize_filename,concurrency,v1,v0,False,0.5,2
openai,openai,sanitize_filename,concurrency,v1,v0,False,0.5,3
openai,openai,sanitize_filename,concurrency,v1,v0,False,0.6,4
openai,openai,sanitize_filename,concurrency,v1,v0,False,0.6,5
openai,openai,sanitize_filename,security,v0,v1,False,0.85,1
openai,openai,sanitize_filename,security,v0,v1,False,0.85,2
openai,openai,sanitize_filename,security,v0,v1,False,0.85,3
openai,openai,sanitize_filename,security,v0,v1,False,0.85,4
openai,openai,sanitize_filename,security,v0,v1,False,0.85,5
openai,openai,sanitize_filename,security,v1,v1,True,0.85,1
openai,openai,sanitize_filename,security,v1,v1,True,0.85,2
openai,openai,sanitize_filename,security,v1,v1,True,0.85,3
openai,openai,sanitize_filename,security,v1,v1,True,0.85,4
openai,openai,sanitize_filename,security,v1,v1,True,0.85,5
openai,openai,validate_email_like,concurrency,v0,v0,True,0.6,1
openai,openai,validate_email_like,concurrency,v0,v0,True,0.6,2
openai,openai,validate_email_like,concurrency,v0,v0,True,0.5,3
openai,openai,validate_email_like,concurrency,v0,v0,True,0.6,4
openai,openai,validate_email_like,concurrency,v0,v0,True,0.6,5
openai,openai,validate_email_like,concurrency,v1,v0,False,0.6,1
openai,openai,validate_email_like,concurrency,v1,v0,False,0.6,2
openai,openai,validate_email_like,concurrency,v1,v0,False,0.6,3
openai,openai,validate_email_like,concurrency,v1,v0,False,0.6,4
openai,openai,validate_email_like,concurrency,v1,v0,False,0.6,5
openai,openai,validate_email_like,security,v0,v1,False,0.78,1
openai,openai,validate_email_like,security,v0,v1,False,0.78,2
openai,openai,validate_email_like,security,v0,v1,False,0.78,3
openai,openai,validate_email_like,security,v0,v0,True,0.65,4
openai,openai,validate_email_like,security,v0,v1,False,0.9,5
openai,openai,validate_email_like,security,v1,v1,True,0.9,1
openai,openai,validate_email_like,security,v1,v1,True,0.9,2
openai,openai,validate_email_like,security,v1,v1,True,0.9,3
openai,openai,validate_email_like,security,v1,v1,True,0.9,4
openai,openai,validate_email_like,security,v1,v1,True,0.9,5
