generator_model,judge_model,task_id,manipulated_dimension,true_value,recovered_value,correct,confidence,rep
local_stub,local_stub,lru_cache,error_handling,v1,v1,True,0.85,1
local_stub,local_stub,lru_cache,maintainability,v0,v0,True,0.85,1
local_stub,local_stub,lru_cache,maintainability,v1,v1,True,0.85,1
local_stub,local_stub,lru_cache,performance,v0,v0,True,0.85,1
local_stub,local_stub,lru_cache,performance,v1,v1,True,0.85,1
local_stub,local_stub,lru_cache,readability,v0,v0,True,0.85,1
local_stub,local_stub,lru_cache,readability,v1,v1,True,0.85,1
local_stub,local_stub,lru_cache,security,v0,v0,True,0.85,1
local_stub,local_stub,lru_cache,security,v1,v1,True,0.85,1
local_stub,local_stub,merge_intervals,api_preference,v0,v0,True,0.85,1
local_stub,local_stub,merge_intervals,api_preference,v1,v1,True,0.85,1
local_stub,local_stub,merge_intervals,concurrency,v0,v0,True,0.85,1
local_stub,local_stub,merge_intervals,concurrency,v1,v1,True,0.85,1
local_stub,local_stub,merge_intervals,edge_cases,v0,v0,True,0.85,1
local_stub,local_stub,merge_intervals,edge_cases,v1,v1,True,0.85,1
local_stub,local_stub,merge_intervals,error_handling,v0,v0,True,0.85,1
local_stub,local_stub,merge_intervals,error_handling,v1,v1,True,0.85,1
local_stub,local_stub,merge_intervals,maintainability,v0,v0,True,0.85,1
local_stub,local_stub,merge_intervals,maintainability,v1,v1,True,0.85,1
local_stub,local_stub,merge_intervals,performance,v0,v0,True,0.85,1
local_stub,local_stub,merge_intervals,performance,v1,v1,True,0.85,1
local_stub,local_stub,merge_intervals,readability,v0,v0,True,0.85,1
local_stub,local_stub,merge_intervals,readability,v1,v1,True,0.85,1
local_stub,local_stub,merge_intervals,security,v0,v0,True,0.85,1
local_stub,local_stub,merge_intervals,security,v1,v1,True,0.85,1
local_stub,local_stub,normalize_file_paths,api_preference,v0,v0,True,0.85,1
local_stub,local_stub,normalize_file_paths,api_preference,v1,v1,True,0.85,1
local_stub,local_stub,normalize_file_paths,concurrency,v0,v0,True,0.85,1
local_stub,local_stub,normalize_file_paths,concurrency,v1,v1,True,0.85,1
local_stub,local_stub,normalize_file_paths,edge_cases,v0,v0,True,0.85,1
local_stub,local_stub,normalize_file_paths,edge_cases,v1,v1,True,0.85,1
local_stub,local_stub,normalize_file_paths,error_handling,v0,v0,True,0.85,1
local_stub,local_stub,normalize_file_paths,error_handling,v1,v1,True,0.85,1
local_stub,local_stub,normalize_file_paths,maintainability,v0,v0,True,0.85,1
local_stub,local_stub,normalize_file_paths,maintainability,v1,v1,True,0.85,1
local_stub,local_stub,normalize_file_paths,performance,v0,v0,True,0.85,1
local_stub,local_stub,normalize_file_paths,performance,v1,v1,True,0.85,1
local_stub,local_stub,normalize_file_paths,readability,v0,v0,True,0.85,1
local_stub,local_stub,normalize_file_paths,readability,v1,v1,True,0.85,1
local_stub,local_stub,normalize_file_paths,security,v0,v0,True,0.85,1
local_stub,local_stub,normalize_file_paths,security,v1,v1,True,0.85,1
local_stub,local_stub,parse_csv_rows,api_preference,v0,v0,True,0.85,1
local_stub,local_stub,parse_csv_rows,api_preference,v1,v1,True,0.85,1
local_stub,local_stub,parse_csv_rows,concurrency,v0,v0,True,0.85,1
local_stub,local_stub,parse_csv_rows,concurrency,v1,v1,True,0.85,1
local_stub,local_stub,parse_csv_rows,edge_cases,v0,v0,True,0.85,1
local_stub,local_stub,parse_csv_rows,edge_cases,v1,v1,True,0.85,1
local_stub,local_stub,parse_csv_rows,error_handling,v0,v0,True,0.85,1
local_stub,local_stub,parse_csv_rows,error_handling,v1,v1,True,0.85,1
local_stub,local_stub,parse_csv_rows,maintainability,v0,v0,True,0.85,1
local_stub,local_stub,parse_csv_rows,maintainability,v1,v1,True,0.85,1
local_stub,local_stub,parse_csv_rows,performance,v0,v0,True,0.85,1
local_stub,local_stub,parse_csv_rows,performance,v1,v1,True,0.85,1
local_stub,local_stub,parse_csv_rows,readability,v0,v0,True,0.85,1
local_stub,local_stub,parse_csv_rows,readability,v1,v1,True,0.85,1
local_stub,local_stub,parse_csv_rows,security,v0,v0,True,0.85,1
local_stub,local_stub,parse_csv_rows,security,v1,v1,True,0.85,1
local_stub,local_stub,rate_limiter,api_preference,v0,v0,True,0.85,1
local_stub,local_stub,rate_limiter,api_preference,v1,v1,True,0.85,1
local_stub,local_stub,rate_limiter,concurrency,v0,v0,True,0.85,1
local_stub,local_stub,rate_limiter,concurrency,v1,v1,True,0.85,1
local_stub,local_stub,rate_limiter,edge_cases,v0,v0,True,0.85,1
local_stub,local_stub,rate_limiter,edge_cases,v1,v1,True,0.85,1
local_stub,local_stub,rate_limiter,error_handling,v0,v0,True,0.85,1
local_stub,local_stub,rate_limiter,error_handling,v1,v1,True,0.85,1
local_stub,local_stub,rate_limiter,maintainability,v0,v0,True,0.85,1
local_stub,local_stub,rate_limiter,maintainability,v1,v1,True,0.85,1
local_stub,local_stub,rate_limiter,performance,v0,v0,True,0.85,1
local_stub,local_stub,rate_limiter,performance,v1,v1,True,0.85,1
local_stub,local_stub,rate_limiter,readability,v0,v0,True,0.85,1
local_stub,local_stub,rate_limiter,readability,v1,v1,True,0.85,1
local_stub,local_stub,rate_limiter,security,v0,v0,True,0.85,1
local_stub,local_stub,rate_limiter,security,v1,v1,True,0.85,1
local_stub,local_stub,sanitize_filename,api_preference,v0,v0,True,0.85,1
local_stub,local_stub,sanitize_filename,api_preference,v1,v1,True,0.85,1
local_stub,local_stub,sanitize_filename,concurrency,v0,v0,True,0.85,1
local_stub,local_stub,sanitize_filename,concurrency,v1,v1,True,0.85,1
local_stub,local_stub,sanitize_filename,edge_cases,v0,v0,True,0.85,1
local_stub,local_stub,sanitize_filename,edge_cases,v1,v1,True,0.85,1
local_stub,local_stub,sanitize_filename,error_handling,v0,v0,True,0.85,1
local_stub,local_stub,sanitize_filename,error_handling,v1,v1,True,0.85,1
local_stub,local_stub,sanitize_filename,maintainability,v0,v0,True,0.85,1
local_stub,local_stub,sanitize_filename,maintainability,v1,v1,True,0.85,1
local_stub,local_stub,sanitize_filename,performance,v0,v0,True,0.85,1
local_stub,local_stub,sanitize_filename,performance,v1,v1,True,0.85,1
local_stub,local_stub,sanitize_filename,readability,v0,v0,True,0.85,1
local_stub,local_stub,sanitize_filename,readability,v1,v1,True,0.85,1
local_stub,local_stub,sanitize_filename,security,v0,v0,True,0.85,1
local_stub,local_stub,sanitize_filename,security,v1,v1,True,0.85,1
local_stub,local_stub,top_k_frequent,api_preference,v0,v0,True,0.85,1
local_stub,local_stub,top_k_frequent,api_preference,v1,v1,True,0.85,1
local_stub,local_stub,top_k_frequent,concurrency,v0,v0,True,0.85,1
local_stub,local_stub,top_k_frequent,concurrency,v1,v1,True,0.85,1
local_stub,local_stub,top_k_frequent,edge_cases,v0,v0,True,0.85,1
local_stub,local_stub,top_k_frequent,edge_cases,v1,v1,True,0.85,1
local_stub,local_stub,top_k_frequent,error_handling,v0,v0,True,0.85,1
local_stub,local_stub,top_k_frequent,error_handling,v1,v1,True,0.85,1
local_stub,local_stub,top_k_frequent,maintainability,v0,v0,True,0.85,1
local_stub,local_stub,top_k_frequent,maintainability,v1,v1,True,0.85,1
local_stub,local_stub,top_k_frequent,performance,v0,v0,True,0.85,1
local_stub,local_stub,top_k_frequent,performance,v1,v1,True,0.85,1
local_stub,local_stub,top_k_frequent,readability,v0,v0,True,0.85,1
local_stub,local_stub,top_k_frequent,readability,v1,v1,True,0.85,1
local_stub,local_stub,top_k_frequent,security,v0,v0,True,0.85,1
local_stub,local_stub,top_k_frequent,security,v1,v1,True,0.85,1
local_stub,local_stub,validate_email_like,api_preference,v0,v0,True,0.85,1
local_stub,local_stub,validate_email_like,api_preference,v1,v1,True,0.85,1
local_stub,local_stub,validate_email_like,concurrency,v0,v0,True,0.85,1
local_stub,local_stub,validate_email_like,concurrency,v1,v1,True,0.85,1
local_stub,local_stub,validate_email_like,edge_cases,v0,v0,True,0.85,1
local_stub,local_stub,validate_email_like,edge_cases,v1,v1,True,0.85,1
local_stub,local_stub,validate_email_like,error_handling,v0,v0,True,0.85,1
local_stub,local_stub,validate_email_like,error_handling,v1,v1,True,0.85,1
local_stub,local_stub,validate_email_like,maintainability,v0,v0,True,0.85,1
local_stub,local_stub,validate_email_like,maintainability,v1,v1,True,0.85,1
local_stub,local_stub,validate_email_like,performance,v0,v0,True,0.85,1
local_stub,local_stub,validate_email_like,performance,v1,v1,True,0.85,1
local_stub,local_stub,validate_email_like,readability,v0,v0,True,0.85,1
local_stub,local_stub,validate_email_like,readability,v1,v1,True,0.85,1
local_stub,local_stub,validate_email_like,security,v0,v0,True,0.85,1
local_stub,local_stub,validate_email_like,security,v1,v1,True,0.85,1
